

Paintings 	Statues 	Miscellaneous 	Shopping cart	 	

Thangka Paintings     Show thumbnails

Peaceful deities

Height	Price	 
1000-arm Avalokiteshvara sitting	35"  	 $1500 	
1000-arm. Avalokiteshv. +4 Kings	24"  	 $1100 	
1000-armed Avalokiteshvara, broc	32.5"  	 $280 	
1000-armed Avalokiteshvara, broc	24.5"  	 sold 	
1000-armed Avalokiteshvara	20"  	 $220 	
1000-armed Avalokiteshvara	27.5"  	 $250 	
1000-armed Avalokiteshvara	39.5"  	 $1200 	
1000-armed Avalokiteshvara	34"  	 $1200 	
1000-armed Avalokiteshvara	24.5"  	 $160 	
1000-armed Avalokiteshvara	32.5"  	 $350 	
108 Buddha Shakyamunis	21"  	 $850 	
108 Milarepas	21"  	 $850 	
108 Padmasambhavas	21"  	 $850 	
21 Taras	31"  	 $400 	
21 Taras	41"  	 $1210 	
21 Taras	30"  	 $400 	
35 Buddhas, brocade	25"  	 $630 	
5 Buddhas, brocade	33.5"  	 $400 	
5 Buddhas	30.5"  	 $350 	
8 Medicine Buddhas	30"  	 $1100 	
84 Mahasiddhas 2	21"  	 sold 	
84 Mahasiddhas	25.5"  	 $700 	
A Buddha with a sword	26"  	 $232 	
Amitabha and the 8 bodhisattvas	35.5"  	 $630 	
Amitabha in Sukhavati, brocade	22"  	 $210 	
Amitabha, brocade	28"  	 $450 	
Amitabha	26.5"  	 $180 	
Amitayus yab yum, brocade	22.5"  	 $300 	
Avalokiteshvara gold painted	18.5"  	 $600 	
Avalokiteshvara mantra	17.5"  	 $150 	
Avalokiteshvara, brocade	26"  	 sold 	
Avalokiteshvara, brocade	12.5"  	 sold 	
Avalokiteshvara, brocade	21.5"  	 sold 	
Avalokiteshvara, brocade	21.5"  	 sold 	
Avalokiteshvara, standing	23"  	 $180 	
Avalokiteshvara	22"  	 $180 	
Avalokiteshvara	31.5"  	 sold 	
Brahmajyotis	24"  	 $240 	
Buddha Shakyamuni	26.5"  	 $270 	
Buddha Shakyamuni	24.5"  	 $175 	
Buddha Shakyamuni	34"  	 $650 	
Buddha and arhats on sea	11"  	 $240 	
Buddha conquers the Maras	27"  	 sold 	
Buddha teaching his disciples	26.5"  	 $330 	
Buddha teaching the Dharma	26"  	 $400 	
Buddha teaching	26.5"  	 $300 	
Buddha, 108 on black	19"  	 $200 	
Buddha, brocade	19.5"  	 $170 	
Buddha, brocade	21"  	 $140 	
Buddha, brocade	20"  	 $280 	
Buddha, gold and silver on black	21"  	 $310 	
Buddha	24"  	 $750 	
Buddha	32"  	 $400 	
Buddha	22"  	 $150 	
Buddha	18.5"  	 $130 	
Buddha	20"  	 $170 	
Buddha	24.5"  	 $300 	
Citipati, brocade	19.5"  	 sold 	
Dalai Lama 2	24.5"  	 $210 	
Five Buddhas	13"  	 $120 	
Five Female Buddhas, brocade	24.5"  	 $420 	
Four Siddhas	37"  	 $650 	
Ganesha, Newari	13"  	 $200 	
Ganesha	21"  	 $300 	
Ganesha	19.5"  	 $140 	
Gelugpa Refuge Tree	28.5"  	 $300 	
Gelukpa refuge tree, brocade	28.5"  	 $600 	
Goddesses	37.5"  	 $900 	
Green Tara, brocade	30"  	 $480 	
Green Tara, brocade	21.5"  	 $60 	
Green Tara	21"  	 sold 	
Green Tara	24.5"  	 $190 	
Green Tara	20.5"  	 $150 	
Green Tara	32"  	 $320 	
Kagyu Refuge Tree	36"  	 $1200 	
Kalu Rinpoche	27"  	 $700 	
Karmapa Mikyo Dorje	30.5"  	 $700 	
Karmapa Mikyo Dorje	35.5"  	 $650 	
Karmapa and Kagyu Lamas, brocade	30"  	 $680 	
King	22.5"  	 $160 	
Lama, brocade	21"  	 $270 	
Longchen Nyintik Refuge Tree	30.5"  	 $1100 	
Longchenpa, brocade	22.5"  	 $250 	
Machig Lapdron, brocade	23"  	 $280 	
Mahakala, brocade	24.5"  	 $360 	
Mahasiddha Acinta	24.5"  	 $320 	
Mahasiddha Godhuripa, brocade	21"  	 $340 	
Mahasiddha Hilapa, brocade	23"  	 $330 	
Mahasiddha, brocades	23.5"  	 $350 	
Mahasiddha	24"  	 $310 	
Maitreya, brocade	30"  	 $390 	
Maitreya, brocade	28"  	 $350 	
Maitreya	20"  	 $200 	
Maitreya	31.5"  	 $500 	
Maitreya	25.5"  	 $280 	
Maitreya	26.5"  	 $350 	
Maitreya	18.5"  	 $160 	
Manjushri, brocade	20"  	 $60 	
Manjushri, brocade	20.5"  	 $160 	
Manjushri, brocade	22.5"  	 $200 	
Manjushri, brocade	25"  	 $300 	
Manjushri	19"  	 $130 	
Manjushri	20"  	 $120 	
Marpa, brocade	29.5"  	 $420 	
Marpa	28"  	 $360 	
Maya, Buddha's mother	26.5"  	 $250 	
Medical thangka	16"  	 $370 	
Medical thangka	16"  	 $370 	
Medical thangka	16"  	 $370 	
Medical thangka	15.5"  	 $370 	
Medicine Buddha brocade	26.5"  	 $290 	
Medicine Buddha, brocade	27"  	 $450 	
Medicine Buddha, brocade	26.5"  	 $480 	
Medicine Buddha, brocade	24.5"  	 $200 	
Medicine Buddha, brocade	29.5"  	 $280 	
Medicine Buddha, brocade	24"  	 $350 	
Medicine Buddha, brocade	26"  	 $350 	
Medicine Buddha	24.5"  	 $750 	
Medicine Buddha	29"  	 $400 	
Medicine Buddha	34"  	 $740 	
Medicine Buddha	27.5"  	 $450 	
Medicine Buddha	24"  	 $270 	
Medicine Buddhas, seven	28.5"  	 $210 	
Milarepa and the Kagyu gurus	40.5"  	 $420 	
Milarepa on black	24.5"  	 $560 	
Milarepa, brocade	30"  	 $600 	
Milarepa	27.5"  	 $370 	
Milarepa	26.5"  	 $560 	
Milarepa	19"  	 $150 	
Namgyalma	26"  	 $750 	
Namgyalma	21"  	 $300 	
Nyingma Refuge Tree	25.5"  	 $450 	
Padma Gyalpo	21"  	 $280 	
Padmasambhava Rainbow body	34"  	 $450 	
Padmasambhava brocade	17"  	 $160 	
Padmasambhava rainbow body	32"  	 $350 	
Padmasambhava set of 9 paintings	22"  	 ask 	
Padmasambhava, 25 disciples,broc	36"  	 $850 	
Padmasambhava, 8 emanat. brocade	31.5"  	 $500 	
Padmasambhava, 8 emanations of	30.5"  	 $300 	
Padmasambhava, Copper mountain	35"  	 $900 	
Padmasambhava, brocade	26"  	 $400 	
Padmasambhava, brocade	21"  	 $180 	
Padmasambhava, brocade	31"  	 $525 	
Padmasambhava, brocade	21"  	 $210 	
Padmasambhava, golden background	21"  	 $850 	
Padmasambhava	19"  	 $220 	
Padmasambhava	45"  	 $680 	
Padmasambhava	33.5"  	 $650 	
Padmasambhava	19.5"  	 $120 	
Padmasambhava	28"  	 $290 	
Panchen Lama, brocades	38"  	 $330 	
Pandita, brocade	21"  	 $480 	
Parinirvana	27.5"  	 $504 	
Prajnaparamita	32.5"  	 sold 	
Ratnasambhava	24.5"  	 $300 	
Red Avalokiteshvara, yab yum	26"  	 $350 	
Red Hat Lama	29.5"  	 $200 	
